ignore,id,doc,toc,year,filcount,discount
363,12055,1,1,1986,48,14
364,12055,1,6,1986,12,13
365,12055,1,2,1986,0,0
366,12055,1,3,1986,158,180
367,12055,1,9,1986,179,169
368,12055,1,4,1986,1,0
369,12055,1,5,1986,134,81
370,12105,1,8,1986,35,8
371,12105,1,7,1986,179,725
372,12105,1,1,1986,308,194
373,12105,1,6,1986,153,73
374,12105,1,2,1986,0,0
375,12105,1,3,1986,1012,477
376,12105,1,9,1986,948,757
377,12105,1,4,1986,8,1
378,12105,1,5,1986,761,702
379,12086,1,8,1986,424,33
380,12086,1,7,1986,101,10
381,12086,1,1,1986,4863,4179
382,12086,1,6,1986,2956,3035
383,12086,1,2,1986,98,20
384,12086,1,3,1986,13005,12715
385,12086,1,9,1986,8210,7885
386,12086,1,4,1986,11,16
387,12086,1,5,1986,4000,3635
388,12027,1,8,1986,0,0
389,12027,1,7,1986,1,6
390,12027,1,1,1986,5,8
391,12027,1,6,1986,17,12
392,12027,1,2,1986,0,0
393,12027,1,3,1986,45,88
394,12027,1,9,1986,50,62
395,12027,1,4,1986,1,1
396,12027,1,5,1986,65,120
397,12081,1,8,1986,10,6
398,12081,1,7,1986,6,3
399,12081,1,1,1986,185,57
400,12081,1,6,1986,84,201
401,12081,1,2,1986,26,6
402,12081,1,3,1986,521,465
403,12081,1,9,1986,574,525
404,12081,1,4,1986,42,17
405,12081,1,5,1986,275,540
406,12115,1,8,1986,31,8
407,12115,1,7,1986,9,0
408,12115,1,1,1986,270,55
409,12115,1,6,1986,176,326
410,12115,1,2,1986,35,4
411,12115,1,3,1986,1149,913
412,12115,1,9,1986,596,618
413,12115,1,4,1986,393,22
414,12115,1,5,1986,822,808
415,12057,1,8,1986,45,2
416,12057,1,7,1986,46,20
417,12057,1,1,1986,1864,1650
418,12057,1,6,1986,874,881
419,12057,1,2,1986,64,14
420,12057,1,3,1986,4415,3828
421,12057,1,9,1986,2845,2318
422,12057,1,4,1986,132,118
423,12057,1,5,1986,1253,1284
424,12005,1,8,1986,27,14
425,12005,1,7,1986,12,5
426,12005,1,1,1986,84,89
427,12005,1,6,1986,65,85
428,12005,1,2,1986,6,4
429,12005,1,3,1986,462,570
430,12005,1,9,1986,488,556
431,12005,1,4,1986,3,21
432,12005,1,5,1986,126,132
433,12013,1,8,1986,1,0
434,12013,1,7,1986,1,0
435,12013,1,1,1986,3,0
436,12013,1,6,1986,4,0
437,12013,1,2,1986,0,0
438,12013,1,3,1986,14,10
439,12013,1,9,1986,26,12
440,12013,1,4,1986,0,0
441,12013,1,5,1986,17,23
442,12045,1,8,1986,0,0
443,12045,1,7,1986,0,0
444,12045,1,1,1986,4,4
445,12045,1,6,1986,25,12
446,12045,1,2,1986,0,0
447,12045,1,3,1986,2,2
448,12045,1,9,1986,18,26
449,12045,1,4,1986,0,0
