ignore,id,doc,toc,variable,value
334,12095,1,8,1986,63
335,12095,1,7,1986,4
336,12095,1,1,1986,526
337,12095,1,6,1986,609
338,12095,1,2,1986,2
339,12095,1,3,1986,2601
340,12095,1,9,1986,1722
341,12095,1,4,1986,35
342,12095,1,5,1986,1307
343,12097,1,8,1986,5
344,12097,1,7,1986,2
345,12097,1,1,1986,31
346,12097,1,6,1986,34
347,12097,1,2,1986,1
348,12097,1,3,1986,138
349,12097,1,9,1986,310
350,12097,1,4,1986,37
351,12097,1,5,1986,120
352,12049,1,8,1986,0
353,12049,1,7,1986,0
354,12049,1,1,1986,14
355,12049,1,6,1986,4
356,12049,1,2,1986,0
357,12049,1,3,1986,39
358,12049,1,9,1986,50
359,12049,1,4,1986,4
360,12049,1,5,1986,30
361,12055,1,8,1986,2
362,12055,1,7,1986,0
363,12055,1,1,1986,14
364,12055,1,6,1986,13
365,12055,1,2,1986,0
366,12055,1,3,1986,180
367,12055,1,9,1986,169
368,12055,1,4,1986,0
369,12055,1,5,1986,81
370,12105,1,8,1986,8
371,12105,1,7,1986,725
372,12105,1,1,1986,194
373,12105,1,6,1986,73
374,12105,1,2,1986,0
375,12105,1,3,1986,477
376,12105,1,9,1986,757
377,12105,1,4,1986,1
378,12105,1,5,1986,702
379,12086,1,8,1986,33
380,12086,1,7,1986,10
381,12086,1,1,1986,4179
382,12086,1,6,1986,3035
383,12086,1,2,1986,20
384,12086,1,3,1986,12715
385,12086,1,9,1986,7885
386,12086,1,4,1986,16
387,12086,1,5,1986,3635
388,12027,1,8,1986,0
389,12027,1,7,1986,6
390,12027,1,1,1986,8
391,12027,1,6,1986,12
392,12027,1,2,1986,0
393,12027,1,3,1986,88
394,12027,1,9,1986,62
395,12027,1,4,1986,1
396,12027,1,5,1986,120
397,12081,1,8,1986,6
398,12081,1,7,1986,3
399,12081,1,1,1986,57
400,12081,1,6,1986,201
401,12081,1,2,1986,6
402,12081,1,3,1986,465
403,12081,1,9,1986,525
404,12081,1,4,1986,17
405,12081,1,5,1986,540
406,12115,1,8,1986,8
407,12115,1,7,1986,0
408,12115,1,1,1986,55
409,12115,1,6,1986,326
410,12115,1,2,1986,4
411,12115,1,3,1986,913
412,12115,1,9,1986,618
413,12115,1,4,1986,22
414,12115,1,5,1986,808
415,12057,1,8,1986,2
416,12057,1,7,1986,20
417,12057,1,1,1986,1650
418,12057,1,6,1986,881
419,12057,1,2,1986,14
420,12057,1,3,1986,3828
421,12057,1,9,1986,2318
422,12057,1,4,1986,118
423,12057,1,5,1986,1284
424,12005,1,8,1986,14
425,12005,1,7,1986,5
426,12005,1,1,1986,89
427,12005,1,6,1986,85
428,12005,1,2,1986,4
429,12005,1,3,1986,570
430,12005,1,9,1986,556
431,12005,1,4,1986,21
432,12005,1,5,1986,132
433,12013,1,8,1986,0
434,12013,1,7,1986,0
435,12013,1,1,1986,0
436,12013,1,6,1986,0
437,12013,1,2,1986,0
438,12013,1,3,1986,10
439,12013,1,9,1986,12
440,12013,1,4,1986,0
441,12013,1,5,1986,23
442,12045,1,8,1986,0
443,12045,1,7,1986,0
444,12045,1,1,1986,4
445,12045,1,6,1986,12
446,12045,1,2,1986,0
447,12045,1,3,1986,2
448,12045,1,9,1986,26
449,12045,1,4,1986,0
450,12045,1,5,1986,56
451,12059,1,8,1986,1
452,12059,1,7,1986,1
453,12059,1,1,1986,1
454,12059,1,6,1986,2
455,12059,1,2,1986,0
456,12059,1,3,1986,11
457,12059,1,9,1986,31
458,12059,1,4,1986,0
459,12059,1,5,1986,29
460,12063,1,8,1986,0
461,12063,1,7,1986,0
462,12063,1,1,1986,4
463,12063,1,6,1986,10
464,12063,1,2,1986,0
465,12063,1,3,1986,13
466,12063,1,9,1986,29
467,12063,1,4,1986,1
468,12063,1,5,1986,134
469,12133,1,8,1986,0
470,12133,1,7,1986,0
471,12133,1,1,1986,1
472,12133,1,6,1986,2
473,12133,1,2,1986,0
474,12133,1,3,1986,22
475,12133,1,9,1986,41
476,12133,1,4,1986,0
477,12133,1,5,1986,7
478,12099,1,8,1986,136
479,12099,1,7,1986,86
480,12099,1,1,1986,1266
481,12099,1,6,1986,867
482,12099,1,2,1986,110
483,12099,1,3,1986,3676
484,12099,1,9,1986,3123
485,12099,1,4,1986,118
486,12099,1,5,1986,1320
487,12087,1,8,1986,2
488,12087,1,7,1986,0
489,12087,1,1,1986,90
490,12087,1,6,1986,93
491,12087,1,2,1986,0
492,12087,1,3,1986,210
493,12087,1,9,1986,281
494,12087,1,4,1986,7
495,12087,1,5,1986,200
496,12011,1,8,1986,152
497,12011,1,7,1986,28
498,12011,1,1,1986,3056
499,12011,1,6,1986,2333
500,12011,1,2,1986,216
501,12011,1,3,1986,7645
502,12011,1,9,1986,4707
503,12011,1,4,1986,179
504,12011,1,5,1986,2550
505,12009,1,8,1986,28
506,12009,1,7,1986,0
507,12009,1,1,1986,221
508,12009,1,6,1986,122
509,12009,1,2,1986,0
510,12009,1,3,1986,576
511,12009,1,9,1986,1005
512,12009,1,4,1986,6
513,12009,1,5,1986,535
514,12117,1,8,1986,0
515,12117,1,7,1986,0
516,12117,1,1,1986,4199
517,12117,1,6,1986,97
518,12117,1,2,1986,6
519,12117,1,3,1986,682
520,12117,1,9,1986,872
521,12117,1,4,1986,16
522,12117,1,5,1986,404
523,12061,1,8,1986,11
524,12061,1,7,1986,0
525,12061,1,1,1986,77
526,12061,1,6,1986,24
527,12061,1,2,1986,2
528,12061,1,3,1986,118
529,12061,1,9,1986,234
530,12061,1,4,1986,1
531,12061,1,5,1986,204
532,12085,1,8,1986,22
533,12085,1,7,1986,14
534,12085,1,1,1986,199
535,12085,1,6,1986,72
536,12085,1,2,1986,14
537,12085,1,3,1986,521
538,12085,1,9,1986,282
539,12085,1,4,1986,13
540,12085,1,5,1986,261
541,12093,1,8,1986,5
542,12093,1,7,1986,1
543,12093,1,1,1986,23
544,12093,1,6,1986,37
545,12093,1,2,1986,2
546,12093,1,3,1986,59
547,12093,1,9,1986,90
548,12093,1,4,1986,0
549,12093,1,5,1986,35
550,12111,1,8,1986,10
551,12111,1,7,1986,0
552,12111,1,1,1986,128
553,12111,1,6,1986,55
554,12111,1,2,1986,0
555,12111,1,3,1986,88
556,12111,1,9,1986,402
557,12111,1,4,1986,0
558,12111,1,5,1986,199
559,12015,1,8,1986,5
560,12015,1,7,1986,3
561,12015,1,1,1986,49
562,12015,1,6,1986,43
563,12015,1,2,1986,0
564,12015,1,3,1986,181
565,12015,1,9,1986,234
566,12015,1,4,1986,14
567,12015,1,5,1986,165
568,12021,1,8,1986,54
569,12021,1,7,1986,0
570,12021,1,1,1986,138
571,12021,1,6,1986,45
572,12021,1,2,1986,1
573,12021,1,3,1986,571
574,12021,1,9,1986,614
575,12021,1,4,1986,96
576,12021,1,5,1986,354
577,12043,1,8,1986,0
578,12043,1,7,1986,0
579,12043,1,1,1986,2
580,12043,1,6,1986,3
581,12043,1,2,1986,0
582,12043,1,3,1986,0
583,12043,1,9,1986,25
584,12043,1,4,1986,0
585,12043,1,5,1986,9
586,12051,1,8,1986,0
587,12051,1,7,1986,0
588,12051,1,1,1986,11
589,12051,1,6,1986,11
590,12051,1,2,1986,3
591,12051,1,3,1986,41
592,12051,1,9,1986,63
593,12051,1,4,1986,0
594,12051,1,5,1986,46
595,12071,1,8,1986,4
596,12071,1,7,1986,2
597,12071,1,1,1986,182
598,12071,1,6,1986,171
599,12071,1,2,1986,0
600,12071,1,3,1986,1236
601,12071,1,9,1986,950
602,12071,1,4,1986,12
603,12071,1,5,1986,507
604,12033,2,2,1986,19
605,12033,2,4,1986,10
606,12033,2,9,1986,188
607,12033,2,8,1986,134
608,12033,2,5,1986,874
609,12033,2,1,1986,84
610,12033,2,10,1986,1439
611,12033,2,11,1986,1326
612,12033,2,6,1986,821
613,12033,2,3,1986,653
614,12033,2,7,1986,296
615,12091,2,2,1986,0
616,12091,2,4,1986,2
617,12091,2,9,1986,28
618,12091,2,8,1986,14
619,12091,2,5,1986,110
620,12091,2,1,1986,164
621,12091,2,10,1986,260
622,12091,2,11,1986,22
623,12091,2,6,1986,40
624,12091,2,3,1986,122
625,12091,2,7,1986,286
626,12113,2,2,1986,5
627,12113,2,4,1986,5
628,12113,2,9,1986,40
629,12113,2,8,1986,8
630,12113,2,5,1986,93
631,12113,2,1,1986,100
632,12113,2,10,1986,132
