ignore,id,doc,toc,variable,value
474,12133,1,3,1986,28
475,12133,1,9,1986,52
476,12133,1,4,1986,0
477,12133,1,5,1986,17
478,12099,1,8,1986,99
479,12099,1,7,1986,69
480,12099,1,1,1986,1414
481,12099,1,6,1986,1051
482,12099,1,2,1986,87
483,12099,1,3,1986,3864
484,12099,1,9,1986,3691
485,12099,1,4,1986,92
486,12099,1,5,1986,1786
487,12087,1,8,1986,9
488,12087,1,7,1986,1
489,12087,1,1,1986,90
490,12087,1,6,1986,95
491,12087,1,2,1986,3
492,12087,1,3,1986,280
493,12087,1,9,1986,356
494,12087,1,4,1986,15
495,12087,1,5,1986,275
496,12011,1,8,1986,305
497,12011,1,7,1986,54
498,12011,1,1,1986,3332
499,12011,1,6,1986,2248
500,12011,1,2,1986,96
501,12011,1,3,1986,8218
502,12011,1,9,1986,5043
503,12011,1,4,1986,114
504,12011,1,5,1986,2546
505,12009,1,8,1986,16
506,12009,1,7,1986,0
507,12009,1,1,1986,344
508,12009,1,6,1986,181
509,12009,1,2,1986,0
510,12009,1,3,1986,850
511,12009,1,9,1986,1150
512,12009,1,4,1986,1
513,12009,1,5,1986,537
514,12117,1,8,1986,14
515,12117,1,7,1986,2
516,12117,1,1,1986,192
517,12117,1,6,1986,110
518,12117,1,2,1986,32
519,12117,1,3,1986,852
520,12117,1,9,1986,948
521,12117,1,4,1986,23
522,12117,1,5,1986,195
523,12061,1,8,1986,6
524,12061,1,7,1986,1
525,12061,1,1,1986,81
526,12061,1,6,1986,36
527,12061,1,2,1986,3
528,12061,1,3,1986,135
529,12061,1,9,1986,238
530,12061,1,4,1986,3
531,12061,1,5,1986,198
532,12085,1,8,1986,8
533,12085,1,7,1986,6
534,12085,1,1,1986,199
535,12085,1,6,1986,70
536,12085,1,2,1986,12
537,12085,1,3,1986,362
538,12085,1,9,1986,283
539,12085,1,4,1986,15
540,12085,1,5,1986,131
541,12093,1,8,1986,1
542,12093,1,7,1986,0
543,12093,1,1,1986,39
