id,group,year,population
12097,6,1986,6231
12097,7,1986,13783
12097,8,1986,11423
12097,9,1986,7756
12097,10,1986,7912
12097,11,1986,7111
12097,12,1986,3722
12097,13,1986,1177
12099,1,1986,10288
12099,2,1986,35228
12099,3,1986,40958
12099,4,1986,37506
12099,5,1986,41263
12099,6,1986,47077
12099,7,1986,118434
12099,8,1986,94249
12099,9,1986,65436
12099,10,1986,82503
12099,11,1986,104835
12099,12,1986,61417
12099,13,1986,14173
12101,1,1986,2467
12101,2,1986,10203
12101,3,1986,12173
12101,4,1986,11821
12101,5,1986,12945
12101,6,1986,12589
12101,7,1986,29163
12101,8,1986,25134
12101,9,1986,20072
12101,10,1986,35171
12101,11,1986,49242
12101,12,1986,25451
12101,13,1986,5182
12103,1,1986,8867
12103,2,1986,31882
12103,3,1986,39325
12103,4,1986,38594
12103,5,1986,44844
12103,6,1986,49055
12103,7,1986,118371
12103,8,1986,97894
12103,9,1986,73389
12103,10,1986,97147
12103,11,1986,116222
12103,12,1986,77044
12103,13,1986,23768
12105,1,1986,5540
12105,2,1986,20547
12105,3,1986,25325
12105,4,1986,23919
12105,5,1986,27515
12105,6,1986,27582
12105,7,1986,56850
12105,8,1986,46314
12105,9,1986,34967
12105,10,1986,39848
12105,11,1986,39217
12105,12,1986,19678
12105,13,1986,4848
12107,1,1986,866
12107,2,1986,3377
12107,3,1986,4287
12107,4,1986,4203
12107,5,1986,4335
12107,6,1986,3748
12107,7,1986,8288
12107,8,1986,7147
12107,9,1986,5822
12107,10,1986,7543
12107,11,1986,6684
12107,12,1986,2876
12107,13,1986,637
12109,1,1986,955
12109,2,1986,3549
12109,3,1986,4364
12109,4,1986,4303
12109,5,1986,5071
12109,6,1986,4747
12109,7,1986,11010
12109,8,1986,9967
12109,9,1986,7014
12109,10,1986,7813
12109,11,1986,7031
12109,12,1986,3156
12109,13,1986,935
12111,1,1986,1944
12111,2,1986,6759
12111,3,1986,8097
12111,4,1986,7177
12111,5,1986,7380
12111,6,1986,7650
12111,7,1986,18951
12111,8,1986,14447
12111,9,1986,10376
12111,10,1986,14505
12111,11,1986,15911
12111,12,1986,6816
12111,13,1986,1376
12113,1,1986,1156
12113,2,1986,4415
12113,3,1986,5281
12113,4,1986,5136
12113,5,1986,5464
12113,6,1986,5554
12113,7,1986,12770
12113,8,1986,10304
12113,9,1986,7311
12113,10,1986,6244
12113,11,1986,4041
12113,12,1986,1697
