id,year,income
12023,1988,12687
12023,1989,13481
12023,1990,13962
12023,1991,14328
12023,1992,15117
12023,1993,15688
12023,1994,15938
12023,1995,16784
12023,1996,17585
12023,1997,18219
12023,1998,18913
12023,1999,19120
12023,2000,19683
12023,2001,21514
12023,2002,21101
12023,2003,21704
12023,2004,23433
12023,2005,24730
12023,2006,25029
12023,2007,26606
12023,2008,27246
12023,2009,26735
12023,2010,28132
12023,2011,29789
12023,2012,28623
12023,2013,29315
12027,1986,11124
12027,1987,12104
12027,1988,14022
12027,1989,14863
12027,1990,15055
12027,1991,16348
12027,1992,15941
12027,1993,16221
12027,1994,16494
12027,1995,16406
12027,1996,16569
12027,1997,16878
12027,1998,18247
12027,1999,17697
12027,2000,17491
12027,2001,18179
12027,2002,17611
12027,2003,17497
12027,2004,19730
12027,2005,20746
12027,2006,22207
12027,2007,22642
12027,2008,22876
12027,2009,22444
12027,2010,24103
12027,2011,25500
12027,2012,23413
12027,2013,24664
12029,1986,9050
12029,1987,9599
12029,1988,10419
12029,1989,11299
12029,1990,11548
12029,1991,11160
12029,1992,11738
12029,1993,12760
12029,1994,13191
12029,1995,13660
12029,1996,14133
12029,1997,14284
12029,1998,14944
12029,1999,15254
12029,2000,16017
12029,2001,17517
12029,2002,17321
12029,2003,17381
12029,2004,18738
12029,2005,19843
12029,2006,20139
12029,2007,20448
12029,2008,20520
12029,2009,20176
12029,2010,20824
12029,2011,21649
12029,2012,22462
12029,2013,23333
12031,1986,15610
12031,1987,16421
12031,1988,17209
12031,1989,18813
12031,1990,19597
12031,1991,19776
12031,1992,20375
12031,1993,21389
12031,1994,22286
12031,1995,23620
12031,1996,24471
12031,1997,25285
12031,1998,27027
12031,1999,27792
12031,2000,30051
12031,2001,30298
12031,2002,31256
12031,2003,32823
12031,2004,34331
12031,2005,36666
12031,2006,39437
12031,2007,40002
12031,2008,39907
12031,2009,37877
12031,2010,38720
12031,2011,39944
12031,2012,42111
12031,2013,42423
12033,1986,13565
12033,1987,14029
12033,1988,15076
12033,1989,16013
12033,1990,16820
12033,1991,17270
12033,1992,17920
12033,1993,18440
12033,1994,18882
12033,1995,19823
12033,1996,20893
12033,1997,21494
12033,1998,22423
12033,1999,23279
12033,2000,24595
12033,2001,25838
12033,2002,26556
12033,2003,27814
12033,2004,29561
12033,2005,30822
12033,2006,33138
12033,2007,34773
12033,2008,35333
12033,2009,34807
12033,2010,35522
12033,2011,37162
12033,2012,37967
12033,2013,38389
12035,1986,14610
12035,1987,15497
12035,1988,16266
12035,1989,16253
12035,1990,16052
12035,1991,16264
12035,1992,17788
12035,1993,18928
12035,1994,20153
12035,1995,20860
12035,1996,21616
12035,1997,22662
12035,1998,23707
12035,1999,24599
12035,2000,25093
12035,2001,25073
12035,2002,25044
12035,2003,26092
12035,2004,27665
12035,2005,29521
12035,2006,31294
12035,2007,32130
12035,2008,32558
12035,2009,31614
12035,2010,32837
12035,2011,34962
12035,2012,36482
12035,2013,36753
12037,1986,10671
12037,1987,10934
12037,1988,11504
12037,1989,12601
12037,1990,13628
12037,1991,13725
12037,1992,14608
12037,1993,14946
12037,1994,15844
12037,1995,16995
12037,1996,16760
12037,1997,17180
12037,1998,17569
12037,1999,18428
12037,2000,21958
12037,2001,24315
12037,2002,23387
12037,2003,24003
12037,2004,26067
12037,2005,28754
12037,2006,28187
12037,2007,29186
12037,2008,28634
12037,2009,27051
12037,2010,28142
12037,2011,28961
12037,2012,29444
12037,2013,30301
12039,1986,9281
12039,1987,9927
12039,1988,10941
12039,1989,12181
